
set_id,question_number,question,option_a,option_b,option_c,option_d,correct,explanation,domain,objective,difficulty
1,1,Which responsible AI principle encourages designing AI systems to be accessible for people with diverse abilities?,Privacy and security,Inclusiveness,Fairness,Reliability and safety,B,"Inclusiveness stresses designing for diverse users, ensuring accessibility across abilities and backgrounds.",Responsible AI,Explain responsible usage of AI,Easy
1,2,Which principle highlights encrypting data at rest and in transit to protect user privacy?,Reliability and safety,Inclusiveness,Privacy and security,Fairness,C,"Privacy and security recommends encryption, anonymisation and limiting access to sensitive data.",Responsible AI,Explain responsible usage of AI,Medium
1,3,Which principle requires open communication about model limitations and decision processes?,Reliability and safety,Privacy and security,Transparency,Fairness,C,"Transparency entails documenting assumptions, providing explanations and enabling audits.",Responsible AI,Explain responsible usage of AI,Medium
1,4,Which principle insists that a human remains responsible for AI decisions and governance?,Fairness,Reliability and safety,Privacy and security,Accountability,D,Accountability requires assigning clear responsibility and ongoing monitoring.,Responsible AI,Explain responsible usage of AI,Medium
1,5,Which responsible AI principle requires that humans remain accountable for AI outcomes?,Fairness,Reliability and safety,Privacy and security,Accountability,D,Accountability means people take responsibility for the behaviour and impact of AI systems.,Responsible AI,Explain responsible usage of AI,Medium
1,6,Which responsible AI principle requires that systems avoid creating or amplifying bias?,Fairness,Reliability and safety,Privacy and security,Inclusiveness,A,The fairness principle ensures AI treats individuals equitably and mitigates biased outcomes.,Responsible AI,Explain responsible usage of AI,Easy
1,7,Which principle mandates rigorous testing to guarantee reliable and safe AI operations?,Inclusiveness,Reliability and safety,Fairness,Privacy and security,B,Reliability and safety demands stress testing and safeguards to minimise unintended harm.,Responsible AI,Explain responsible usage of AI,Medium
1,8,Which subscription offers policy management with duplication detection and filter settings?,Free,Pro,Pro+,Business,D,Business lets administrators enable duplication detection and configure content filters.,GitHub Copilot plans and features,Identify main features with GitHub Copilot,Medium
1,9,Which plan provides ability to index and search custom knowledge across projects?,Enterprise,Free,Pro,Pro+,A,Enterprise knowledge bases support indexing across large projects and shared libraries.,GitHub Copilot plans and features,Explain the differences between Copilot plans,Hard
1,10,Which plan provides the slash command used to summarise selected code?,/summarize,/explain,/tests,/refactor,A,The /summarize command generates a concise summary of the selected code block.,GitHub Copilot plans and features,Describe the different ways to trigger GitHub Copilot Chat,Easy
1,11,Which Copilot plan grants no cost for students and open‑source contributors?,Business,Free,Pro,Pro+,B,Students and open‑source contributors can access Copilot at no cost via the Free tier.,GitHub Copilot plans and features,Identify different GitHub Copilot plans,Easy
1,12,Which plan provides the slash command that refactors selected code?,/refactor,/explain,/summarize,/tests,A,"The /refactor command asks Copilot to refactor the highlighted code, improving structure and readability.",GitHub Copilot plans and features,Describe the different ways to trigger GitHub Copilot Chat,Medium
